date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-11-12,sh.600000,9.4300,5.004984,0.542458,1.433903,3.374960
2020-11-13,sh.600000,9.3600,4.967831,0.538431,1.423259,3.349908
2020-11-16,sh.600000,9.4500,5.015599,0.543608,1.436944,3.382118
2020-11-17,sh.600000,9.5300,5.058059,0.548210,1.449109,3.410750
2020-11-18,sh.600000,9.7000,5.148287,0.557989,1.474959,3.471592
2020-11-19,sh.600000,9.7400,5.169517,0.560290,1.481041,3.485908
2020-11-20,sh.600000,9.6700,5.132364,0.556264,1.470397,3.460855
2020-11-23,sh.600000,9.9000,5.254437,0.569494,1.505370,3.543172
2020-11-24,sh.600000,9.8500,5.227899,0.566618,1.497767,3.525277
2020-11-25,sh.600000,9.8100,5.206669,0.564317,1.491685,3.510961
2020-11-26,sh.600000,9.9800,5.296897,0.574096,1.517535,3.571803
2020-11-27,sh.600000,10.2000,5.413662,0.586752,1.550987,3.650540
2020-11-30,sh.600000,10.0600,5.339357,0.578698,1.529699,3.600435
2020-12-01,sh.600000,10.3000,5.466737,0.592504,1.566193,3.686330
2020-12-02,sh.600000,10.2500,5.440200,0.589628,1.558590,3.668435
2020-12-03,sh.600000,10.2400,5.434892,0.589053,1.557070,3.664856
2020-12-04,sh.600000,10.1700,5.397740,0.585026,1.546426,3.639804
2020-12-07,sh.600000,9.9900,5.302205,0.574671,1.519055,3.575382
2020-12-08,sh.600000,9.9800,5.296897,0.574096,1.517535,3.571803
2020-12-09,sh.600000,9.9100,5.259744,0.570069,1.506891,3.546751
2020-12-10,sh.600000,9.8200,5.211977,0.564892,1.493206,3.514540
2020-12-11,sh.600000,9.7000,5.148287,0.557989,1.474959,3.471592
2020-12-14,sh.600000,9.7500,5.174824,0.560866,1.482562,3.489487
2020-12-15,sh.600000,9.7100,5.153594,0.558565,1.476479,3.475171
2020-12-16,sh.600000,9.6500,5.121749,0.555113,1.467356,3.453698
2020-12-17,sh.600000,9.7700,5.185439,0.562016,1.485603,3.496645
2020-12-18,sh.600000,9.7600,5.180132,0.561441,1.484082,3.493066
2020-12-21,sh.600000,9.7500,5.174824,0.560866,1.482562,3.489487
2020-12-22,sh.600000,9.6100,5.100519,0.552812,1.461274,3.439382
2020-12-23,sh.600000,9.5500,5.068674,0.549361,1.452150,3.417908
2020-12-24,sh.600000,9.5500,5.068674,0.549361,1.452150,3.417908
2020-12-25,sh.600000,9.5800,5.084597,0.551086,1.456712,3.428645
2020-12-28,sh.600000,9.5700,5.079289,0.550511,1.455191,3.425066
2020-12-29,sh.600000,9.5300,5.058059,0.548210,1.449109,3.410750
2020-12-30,sh.600000,9.5000,5.042136,0.546484,1.444547,3.400013
2020-12-31,sh.600000,9.6800,5.137672,0.556839,1.471918,3.464434
